,10,20,30,40,50,60,70,80,90,100,200,500
1,25630.19086445598,107173.46848265573,103881.24824068046,123562.45873998132,72016.13738299215,142183.8051590374,111913.82336700904,95276.11255503332,133808.6713884416,87251.45699740965,117676.02202498278,98934.36612557269
mean,25630.19086445598,107173.46848265573,103881.24824068046,123562.45873998132,72016.13738299215,142183.8051590374,111913.82336700904,95276.11255503332,133808.6713884416,87251.45699740965,117676.02202498278,98934.36612557269
variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
