73,0.85,0.8,0.82,0.775,0.7533333333333333,0.792,0.792,0.798
74,0.95,0.62,0.76,0.825,0.7633333333333333,0.844,0.791,0.791
75,0.8,0.82,0.83,0.8,0.7366666666666667,0.776,0.791,0.7788
76,0.75,0.86,0.75,0.79,0.78,0.806,0.803,0.7916
77,0.75,0.74,0.85,0.79,0.7733333333333333,0.818,0.778,0.7704
78,0.75,0.82,0.81,0.775,0.7866666666666666,0.78,0.788,0.786
79,0.85,0.74,0.79,0.825,0.7766666666666666,0.792,0.8,0.8038
80,0.9,0.8,0.75,0.78,0.7966666666666666,0.758,0.78,0.779
81,0.95,0.78,0.74,0.815,0.7133333333333334,0.77,0.798,0.7916
82,0.8,0.76,0.87,0.735,0.7933333333333333,0.79,0.781,0.7934
83,0.85,0.78,0.81,0.77,0.8,0.818,0.779,0.7944
84,0.55,0.76,0.85,0.81,0.8033333333333333,0.794,0.775,0.7902
85,0.9,0.78,0.76,0.785,0.8033333333333333,0.772,0.788,0.7838
86,0.75,0.7,0.84,0.755,0.7766666666666666,0.762,0.764,0.7768
87,0.65,0.86,0.7,0.795,0.78,0.8,0.789,0.79
88,0.75,0.8,0.87,0.79,0.77,0.78,0.789,0.7916
89,0.85,0.88,0.8,0.82,0.7933333333333333,0.752,0.765,0.7784
90,0.7,0.88,0.81,0.805,0.78,0.784,0.765,0.7826
91,0.6,0.78,0.76,0.775,0.7933333333333333,0.744,0.793,0.7946
92,0.75,0.76,0.77,0.76,0.7566666666666667,0.764,0.791,0.7778
93,0.8,0.76,0.8,0.775,0.8366666666666667,0.806,0.804,0.7818
94,0.75,0.8,0.83,0.795,0.79,0.766,0.785,0.7868
95,0.75,0.86,0.77,0.78,0.7666666666666667,0.784,0.794,0.7702
96,0.85,0.78,0.84,0.78,0.75,0.802,0.798,0.792
97,0.8,0.8,0.83,0.825,0.76,0.79,0.77,0.785
98,0.7,0.78,0.81,0.78,0.77,0.796,0.783,0.7838
99,0.7,0.7,0.85,0.8,0.7666666666666667,0.778,0.773,0.7764
100,0.8,0.68,0.73,0.805,0.78,0.776,0.774,0.7838
mean,0.7814999999999999,0.7906000000000004,0.7853,0.7875500000000004,0.7792000000000001,0.7865400000000003,0.7868899999999998,0.7857100000000001
variance,0.008921969696969696,0.003098626262626263,0.0017362727272727287,0.0007699469696969692,0.0006806105499438836,0.00033138222222222214,0.00020688676767676784,3.913323232323225e-05
